blk,ccache,tcache,smp,intra,ccp,simd,mshr,dramq,inter,runtime
8,64,64,2,1,1,64,1,32,6,23063
8,64,64,2,8,2,32,1,64,2,22279
8,64,64,4,1,4,16,2,32,10,29299
8,64,128,1,1,4,64,3,16,10,24359
8,64,128,4,1,1,64,3,32,2,22872
8,64,128,4,2,4,16,1,16,6,28175
8,64,128,8,2,4,64,3,64,10,21429
8,64,256,1,2,4,32,1,64,6,23510
8,128,8,2,1,1,64,1,64,6,22105
8,128,8,8,1,2,32,2,32,10,25196
8,128,16,1,2,4,32,1,16,2,23517
8,128,16,2,8,4,16,3,16,6,28176
8,128,16,4,1,4,64,2,32,2,22746
8,128,16,4,8,4,32,2,16,10,23596
8,128,32,4,1,8,64,2,16,10,23449
8,128,32,8,4,2,16,3,16,6,28175
8,128,64,2,8,2,64,3,32,2,22416
8,128,128,1,4,1,16,2,16,6,28175
8,128,128,2,8,1,16,2,32,10,28201
8,128,128,8,2,8,16,3,16,6,28175
8,128,128,8,8,1,64,2,32,2,22107
8,128,128,8,8,4,32,2,64,2,22279
8,128,256,1,2,4,32,1,32,10,23002
8,128,256,1,2,8,64,2,32,10,22752
8,128,256,8,1,4,64,3,32,2,22872
8,128,256,8,1,8,16,2,64,2,31890
8,128,256,8,8,4,64,2,16,6,22770
8,256,8,2,2,4,64,3,64,2,21744
8,256,8,4,1,4,32,2,64,6,22627
8,256,8,8,2,4,64,1,64,2,21658
8,256,16,1,4,1,64,3,16,2,23797
8,256,16,1,8,1,16,2,16,2,28176
8,256,32,1,8,8,16,1,64,6,28113
8,256,32,4,2,1,32,2,32,2,22776
8,256,32,4,4,8,16,2,16,10,28175
8,256,32,4,4,8,64,3,16,2,22852
8,256,32,8,8,4,64,2,64,6,21594
8,256,64,2,4,1,16,1,32,6,28201
8,256,64,8,1,8,32,2,32,6,25370
8,256,128,1,1,4,16,3,64,2,31890
8,256,128,2,8,2,64,2,64,10,21804
8,256,128,2,8,4,16,1,16,10,28175
8,256,128,4,1,8,64,3,64,2,21886
8,256,128,8,1,4,16,2,16,2,29252
8,256,256,2,1,2,16,2,32,10,29328
16,8,8,2,4,8,16,3,32,10,25523
16,8,8,8,2,8,16,3,64,2,25566
16,8,8,8,4,4,32,2,32,10,21010
16,8,16,1,2,4,64,3,32,6,20355
16,8,16,1,8,1,16,3,32,2,25523
16,8,16,2,4,4,32,1,32,6,21010
16,8,16,8,2,1,64,1,64,6,19544
16,8,32,1,1,4,32,1,16,2,21847
16,8,32,4,4,1,16,3,16,2,25637
16,8,32,8,1,4,32,1,32,10,21127
16,8,64,2,8,1,32,3,64,10,20427
16,8,64,4,2,2,64,1,16,6,20514
16,8,64,8,2,1,16,2,32,2,25523
16,8,128,4,1,1,64,1,64,2,19611
16,8,256,1,4,2,32,2,32,6,21631
16,8,256,4,4,1,16,3,64,10,25552
16,16,8,8,4,4,16,1,16,2,25626
16,16,16,2,2,4,64,2,64,6,19686
16,16,16,8,1,8,32,1,64,6,20465
16,16,32,2,2,1,32,2,16,6,21238
16,16,32,2,8,2,16,2,32,2,25523
16,16,32,8,2,8,16,1,16,6,25626
16,16,64,2,1,8,32,3,64,6,20465
16,16,128,2,4,2,16,1,64,10,25566
16,16,128,8,4,1,32,1,64,6,20448
16,16,256,1,4,2,16,1,64,2,25566
16,32,8,2,4,4,32,1,16,10,21389
16,32,16,8,8,2,64,2,64,2,19608
16,32,32,1,4,2,32,1,64,6,20979
16,32,32,2,2,8,16,1,32,2,25525
16,32,32,2,4,4,16,1,16,10,25626
16,32,32,8,1,8,16,1,32,6,26523
16,32,64,1,2,1,64,1,64,10,20155
16,32,64,4,1,4,32,3,32,2,21127
16,32,64,4,4,8,64,2,32,6,20148
16,32,64,8,2,8,32,2,32,2,21128
16,32,128,2,2,1,16,2,32,10,25523
16,32,128,4,4,1,16,1,64,2,25552
16,32,256,4,2,8,32,3,64,6,20565
16,32,256,8,1,2,32,3,64,2,20465
16,32,256,8,1,4,32,1,32,2,21127
16,32,256,8,4,8,64,1,16,6,20443
16,32,256,8,8,1,32,1,16,2,21266
16,64,8,2,1,1,16,3,64,6,26571
16,64,8,2,2,2,64,3,32,10,20242
16,64,8,4,1,1,32,3,32,2,21127
16,64,8,8,1,2,32,1,32,2,21224
16,64,8,8,2,4,32,2,16,10,21238
16,64,16,8,4,2,32,1,64,2,20427
16,64,32,1,1,8,64,2,64,6,20335
16,64,64,2,4,1,64,1,16,2,20542
16,64,64,8,1,1,64,1,32,6,20264
16,64,64,8,1,1,64,1,64,6,19611
16,64,64,8,4,2,64,1,64,6,19553
16,64,128,1,2,8,64,2,64,2,20051
16,64,128,2,8,4,64,1,16,10,20617
16,64,128,4,2,2,16,1,32,6,25525
16,64,256,1,8,1,32,1,64,2,20979
16,64,256,2,1,1,16,3,64,2,26571
16,128,16,1,8,2,16,3,16,2,25626
16,128,32,1,1,1,32,2,64,6,21233
16,128,32,1,1,1,64,1,64,2,20335
16,128,32,1,2,2,16,2,32,10,25525
16,128,32,1,2,8,16,1,64,10,25566
16,128,32,2,2,8,16,2,16,10,25637
16,128,64,4,2,8,16,2,32,6,25523
16,128,64,4,4,4,16,1,32,10,25525
16,128,64,8,1,1,64,2,16,10,20664
16,128,128,1,8,2,32,3,64,2,21003
16,128,128,4,2,1,16,2,16,6,25626
16,128,256,2,1,1,32,2,64,6,20539
16,128,256,4,4,4,32,2,64,6,20427
16,256,8,1,8,4,64,1,32,6,20500
16,256,8,4,1,4,64,3,32,2,20137
16,256,8,8,1,2,64,3,64,10,19611
16,256,16,1,1,2,64,1,64,6,20246
16,256,64,4,8,8,16,3,16,6,25637
16,256,128,2,8,2,32,2,16,6,21266
16,256,128,8,2,1,64,1,32,2,20022
16,256,256,2,8,1,64,3,64,2,19595
16,256,256,8,8,2,32,2,32,6,20921
